date,year,month,week_number,district,market,crop,price_rs_kg,season,season_encoded,extent_ha,production_t,yield_t_per_ha,annual_extent_ha,annual_production_t,annual_yield_t_per_ha,seasonal_extent_ha,seasonal_production_t,seasonal_yield_t_per_ha,agstat_source_used
1/1/2019,2019,1,1,colombo,colombo,beans,111.5384615,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,colombo,colombo,cabbage,59.23076923,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,colombo,colombo,carrots,82.5,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,colombo,colombo,chili,270.8333333,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,colombo,colombo,eggplants,93.84615385,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,colombo,colombo,pumpkin,19.16666667,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,colombo,colombo,snake gourd,53.33333333,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,colombo,colombo,tomatoes,62.5,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,beans,116,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,cabbage,45.6,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,carrots,68,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,chili,210,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,dambulla,dambulla,eggplants,84,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,pumpkin,13.2,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,snake gourd,38,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,dambulla,dambulla,tomatoes,56,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,kandy,kandy,beans,125,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,kandy,kandy,cabbage,64,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,kandy,kandy,carrots,75,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,kandy,kandy,chili,224,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,kandy,kandy,eggplants,70,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,kandy,kandy,pumpkin,22.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,kandy,kandy,snake gourd,47.6,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,kandy,kandy,tomatoes,55,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,beans,124.5,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,cabbage,44.375,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,carrots,62.5,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,chili,197,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,keppetipola,keppetipola,eggplants,81.5,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,pumpkin,35,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,keppetipola,keppetipola,tomatoes,57.5,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,beans,145,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,cabbage,57,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,carrots,79,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,chili,216,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,meegoda,meegoda,eggplants,95,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,pumpkin,20.6,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,snake gourd,61.66666667,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,meegoda,meegoda,tomatoes,66,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,beans,114,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,cabbage,47,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,carrots,67,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,chili,174,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,eggplants,78,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,pumpkin,38,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,snake gourd,55,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,tomatoes,58,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/1/2019,2019,1,1,puttalam,puttalam,cabbage,48,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,puttalam,puttalam,chili,220,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,puttalam,puttalam,snake gourd,45,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,beans,90,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,cabbage,56,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,carrots,84,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,chili,234,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/1/2019,2019,1,1,thambuththegama,thambuththegama,eggplants,70,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,pumpkin,12.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,snake gourd,45,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/1/2019,2019,1,1,thambuththegama,thambuththegama,tomatoes,54,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,colombo,colombo,beans,97.5,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,colombo,colombo,cabbage,42,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,colombo,colombo,carrots,71.66666667,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,colombo,colombo,chili,263.3333333,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,colombo,colombo,eggplants,85.33333333,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,colombo,colombo,pumpkin,15.41666667,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,colombo,colombo,snake gourd,47.5,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,colombo,colombo,tomatoes,61.53846154,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,beans,112,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,cabbage,38.6,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,carrots,86,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,chili,254,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,dambulla,dambulla,eggplants,96,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,pumpkin,11.6,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,snake gourd,41,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,dambulla,dambulla,tomatoes,61,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,kandy,kandy,beans,95,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,kandy,kandy,cabbage,47,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,kandy,kandy,carrots,95,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,kandy,kandy,chili,224,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,kandy,kandy,eggplants,94,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,kandy,kandy,pumpkin,22.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,kandy,kandy,snake gourd,45,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,kandy,kandy,tomatoes,65,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,beans,77.5,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,cabbage,35,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,carrots,59.5,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,chili,210,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,keppetipola,keppetipola,eggplants,75.5,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,pumpkin,34.5,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,keppetipola,keppetipola,tomatoes,55,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,beans,110,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,cabbage,49,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,carrots,105,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,chili,266,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
1/8/2019,2019,1,2,meegoda,meegoda,eggplants,94,Maha,1,9877,134863,13.65,9877,134863,13.65424724,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,pumpkin,18.4,Maha,1,6863,97473,14.2,6863,97473,14.20268104,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,snake gourd,58.33333333,Maha,1,2361,29806,12.62,2361,29806,12.62431173,,,,annual
1/8/2019,2019,1,2,meegoda,meegoda,tomatoes,68,Maha,1,5869,77916,13.28,5869,77916,13.27585619,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,beans,94,Maha,1,6461,65450,10.13,6461,65450,10.13001083,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,cabbage,47,Maha,1,4153,116577,28.07,4153,116577,28.07055141,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,carrots,103,Maha,1,3553,80767,22.73,3553,80767,22.73205742,,,,annual
1/8/2019,2019,1,2,nuwaraeliya,nuwaraeliya,chili,254,Maha,1,11000,60593,5.51,10981,60593,5.517985612,6611,33838,5.118438965,seasonal
