date,year,month,week_number,district,market,crop,price_rs_kg,season,season_encoded,extent_ha,production_t,yield_t_per_ha,annual_extent_ha,annual_production_t,annual_yield_t_per_ha,seasonal_extent_ha,seasonal_production_t,seasonal_yield_t_per_ha,agstat_source_used,temp_mean,rainfall_total,rain_sum,wind_max,inflation_rate,inflation_mom_change
1/1/2019,2019,1,1,colombo,colombo,beans,111.5384615,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,cabbage,59.23076923,Maha,1,4153,116577,28.07,4153.0,116577.0,28.07055141,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,carrots,82.5,Maha,1,3553,80767,22.73,3553.0,80767.0,22.73205742,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,chili,270.8333333,Maha,1,11000,60593,5.51,10981.0,60593.0,5.517985612,6611.0,33838.0,5.118438965,seasonal,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,eggplants,93.84615385,Maha,1,9877,134863,13.65,9877.0,134863.0,13.65424724,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,pumpkin,19.16666667,Maha,1,6863,97473,14.2,6863.0,97473.0,14.20268104,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,snake gourd,53.33333333,Maha,1,2361,29806,12.62,2361.0,29806.0,12.62431173,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,colombo,colombo,tomatoes,62.5,Maha,1,5869,77916,13.28,5869.0,77916.0,13.27585619,,,,annual,26.2625,0.4,0.4,14.025,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,beans,116.0,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,cabbage,45.6,Maha,1,4153,116577,28.07,4153.0,116577.0,28.07055141,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,carrots,68.0,Maha,1,3553,80767,22.73,3553.0,80767.0,22.73205742,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,chili,210.0,Maha,1,11000,60593,5.51,10981.0,60593.0,5.517985612,6611.0,33838.0,5.118438965,seasonal,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,eggplants,84.0,Maha,1,9877,134863,13.65,9877.0,134863.0,13.65424724,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,pumpkin,13.2,Maha,1,6863,97473,14.2,6863.0,97473.0,14.20268104,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,snake gourd,38.0,Maha,1,2361,29806,12.62,2361.0,29806.0,12.62431173,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,dambulla,dambulla,tomatoes,56.0,Maha,1,5869,77916,13.28,5869.0,77916.0,13.27585619,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,beans,125.0,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,cabbage,64.0,Maha,1,4153,116577,28.07,4153.0,116577.0,28.07055141,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,carrots,75.0,Maha,1,3553,80767,22.73,3553.0,80767.0,22.73205742,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,chili,224.0,Maha,1,11000,60593,5.51,10981.0,60593.0,5.517985612,6611.0,33838.0,5.118438965,seasonal,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,eggplants,70.0,Maha,1,9877,134863,13.65,9877.0,134863.0,13.65424724,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,pumpkin,22.4,Maha,1,6863,97473,14.2,6863.0,97473.0,14.20268104,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,snake gourd,47.6,Maha,1,2361,29806,12.62,2361.0,29806.0,12.62431173,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,kandy,kandy,tomatoes,55.0,Maha,1,5869,77916,13.28,5869.0,77916.0,13.27585619,,,,annual,21.5625,0.0,0.0,10.8,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,beans,124.5,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,cabbage,44.375,Maha,1,4153,116577,28.07,4153.0,116577.0,28.07055141,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,carrots,62.5,Maha,1,3553,80767,22.73,3553.0,80767.0,22.73205742,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,chili,197.0,Maha,1,11000,60593,5.51,10981.0,60593.0,5.517985612,6611.0,33838.0,5.118438965,seasonal,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,eggplants,81.5,Maha,1,9877,134863,13.65,9877.0,134863.0,13.65424724,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,pumpkin,35.0,Maha,1,6863,97473,14.2,6863.0,97473.0,14.20268104,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,keppetipola,keppetipola,tomatoes,57.5,Maha,1,5869,77916,13.28,5869.0,77916.0,13.27585619,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,beans,145.0,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,cabbage,57.0,Maha,1,4153,116577,28.07,4153.0,116577.0,28.07055141,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,carrots,79.0,Maha,1,3553,80767,22.73,3553.0,80767.0,22.73205742,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,chili,216.0,Maha,1,11000,60593,5.51,10981.0,60593.0,5.517985612,6611.0,33838.0,5.118438965,seasonal,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,eggplants,95.0,Maha,1,9877,134863,13.65,9877.0,134863.0,13.65424724,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,pumpkin,20.6,Maha,1,6863,97473,14.2,6863.0,97473.0,14.20268104,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,snake gourd,61.66666667,Maha,1,2361,29806,12.62,2361.0,29806.0,12.62431173,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,meegoda,meegoda,tomatoes,66.0,Maha,1,5869,77916,13.28,5869.0,77916.0,13.27585619,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
1/1/2019,2019,1,1,nuwaraeliya,nuwaraeliya,beans,114.0,Maha,1,6461,65450,10.13,6461.0,65450.0,10.13001083,,,,annual,25.492524988497816,0.0,0.0,13.6260315447435,3.7,0.0
