image_path,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
images/sample_0001.ppm,Polonnaruwa,Maha,Paddy,7.05,84.28,19.99,59.62,21.75,1.75
images/sample_0002.ppm,Colombo,Maha,Cabbage,7.07,131.25,35.55,63.88,30.56,4.15
images/sample_0003.ppm,Puttalam,Yala,Tomato,6.46,179.4,34.87,92.49,44.72,5.76
images/sample_0004.ppm,Mannar,Yala,Maize,4.93,141.46,29.46,85.86,39.82,4.04
images/sample_0005.ppm,Anuradhapura,Yala,Tomato,6.88,145.36,27.63,99.44,42.01,2.91
images/sample_0006.ppm,Moneragala,Inter-monsoon,Tomato,5.96,102.21,29.63,53.7,13.36,4.59
images/sample_0007.ppm,Moneragala,Inter-monsoon,Carrot,7.66,183.66,30.47,112.46,52.79,4.31
images/sample_0008.ppm,Batticaloa,Maha,Cabbage,5.21,87.39,27.43,40.57,11.23,2.68
images/sample_0009.ppm,Ampara,Maha,Cabbage,5.54,145.56,21.46,91.5,43.21,2.65
images/sample_0010.ppm,Hambantota,Yala,Cabbage,6.94,152.67,35.95,76.44,31.79,4.71
images/sample_0011.ppm,Kilinochchi,Inter-monsoon,Paddy,6.81,128.28,23.14,85.7,36.04,3.23
images/sample_0012.ppm,Kandy,Inter-monsoon,Chilli,7.43,74.12,20.18,54.52,11.72,1.37
images/sample_0013.ppm,Ratnapura,Yala,Paddy,7.74,140.42,23.13,93.78,41.6,2.48
images/sample_0014.ppm,Puttalam,Yala,Carrot,5.16,105.25,19.06,74.89,28.94,2.43
images/sample_0015.ppm,Vavuniya,Maha,Paddy,5.7,208.0,44.5,103.26,57.23,6.33
images/sample_0016.ppm,Ratnapura,Yala,Potato,7.78,139.42,21.13,83.64,35.47,3.45
images/sample_0017.ppm,Matara,Inter-monsoon,Cabbage,5.03,120.63,27.67,63.1,28.97,4.24
images/sample_0018.ppm,Colombo,Inter-monsoon,Maize,5.41,167.3,30.2,95.53,47.1,3.67
images/sample_0019.ppm,Kilinochchi,Inter-monsoon,Carrot,7.26,175.65,38.72,89.84,42.17,5.48
images/sample_0020.ppm,Polonnaruwa,Yala,Banana,5.3,139.67,32.16,66.18,23.77,5.48
images/sample_0021.ppm,Matara,Yala,Maize,7.01,111.44,30.65,42.75,13.79,4.25
images/sample_0022.ppm,Trincomalee,Maha,Chilli,6.4,160.31,18.98,100.5,53.85,1.64
images/sample_0023.ppm,Polonnaruwa,Yala,Maize,6.36,121.87,41.52,57.99,18.09,6.08
images/sample_0024.ppm,Jaffna,Inter-monsoon,Carrot,7.12,120.65,20.77,68.51,27.56,3.16
images/sample_0025.ppm,Trincomalee,Inter-monsoon,Paddy,6.63,134.95,32.55,54.13,22.75,4.54
images/sample_0026.ppm,Hambantota,Yala,Cabbage,6.94,152.86,27.65,100.25,43.13,3.64
images/sample_0027.ppm,Kalutara,Yala,Chilli,7.48,97.98,31.05,46.94,16.44,3.72
images/sample_0028.ppm,Mullaitivu,Maha,Paddy,6.13,146.52,33.11,102.13,43.62,3.92
images/sample_0029.ppm,Moneragala,Yala,Tomato,7.36,136.97,38.04,64.03,24.44,4.82
images/sample_0030.ppm,Moneragala,Inter-monsoon,Paddy,6.42,152.16,9.86,90.56,50.28,1.4
images/sample_0031.ppm,Mullaitivu,Maha,Paddy,5.57,185.2,29.9,115.22,53.26,4.74
images/sample_0032.ppm,Nuwara Eliya,Yala,Potato,4.94,149.23,35.81,81.63,29.86,5.21
images/sample_0033.ppm,Kurunegala,Inter-monsoon,Chilli,5.3,96.93,19.35,60.1,24.54,2.36
images/sample_0034.ppm,Badulla,Inter-monsoon,Maize,7.22,125.49,18.86,83.41,35.77,2.98
images/sample_0035.ppm,Ratnapura,Inter-monsoon,Potato,5.38,80.86,13.74,47.74,16.68,2.12
images/sample_0036.ppm,Ratnapura,Maha,Cabbage,5.36,167.57,17.9,105.34,54.77,2.48
images/sample_0037.ppm,Badulla,Maha,Cabbage,7.16,176.57,34.64,91.1,43.14,5.58
images/sample_0038.ppm,Mullaitivu,Maha,Carrot,5.36,187.01,33.7,101.98,47.12,5.83
images/sample_0039.ppm,Vavuniya,Maha,Tomato,5.34,151.34,15.51,112.4,54.76,1.13
images/sample_0040.ppm,Vavuniya,Inter-monsoon,Maize,5.35,101.95,26.74,63.06,17.89,3.52
images/sample_0041.ppm,Galle,Yala,Cabbage,6.19,113.55,32.23,51.67,17.13,4.32
images/sample_0042.ppm,Nuwara Eliya,Yala,Tomato,6.83,164.29,21.34,92.54,49.09,3.04
images/sample_0043.ppm,Ampara,Yala,Cabbage,7.66,76.97,20.77,47.38,13.56,1.92
images/sample_0044.ppm,Mannar,Maha,Cabbage,6.18,134.76,32.52,64.28,22.64,5.52
images/sample_0045.ppm,Ampara,Inter-monsoon,Potato,5.23,110.23,34.69,42.97,17.18,4.06
images/sample_0046.ppm,Matara,Yala,Banana,7.16,134.69,33.67,72.17,35.17,4.07
images/sample_0047.ppm,Jaffna,Inter-monsoon,Cabbage,6.97,153.09,25.17,91.17,44.05,2.49
images/sample_0048.ppm,Puttalam,Yala,Maize,5.54,129.56,42.33,54.26,20.72,5.71
images/sample_0049.ppm,Matara,Yala,Potato,7.48,182.92,21.13,105.82,57.78,2.85
images/sample_0050.ppm,Batticaloa,Maha,Paddy,4.93,107.4,36.08,60.97,16.64,4.49
images/sample_0051.ppm,Hambantota,Inter-monsoon,Potato,6.07,117.46,25.47,65.76,21.28,3.48
images/sample_0052.ppm,Gampaha,Maha,Cabbage,6.89,160.27,22.65,100.24,54.22,1.72
images/sample_0053.ppm,Moneragala,Inter-monsoon,Potato,5.17,91.64,17.51,50.74,20.62,2.15
images/sample_0054.ppm,Moneragala,Yala,Banana,5.76,205.79,42.07,114.92,52.57,6.21
images/sample_0055.ppm,Nuwara Eliya,Maha,Tomato,5.82,133.73,31.53,74.89,31.63,4.33
images/sample_0056.ppm,Kegalle,Yala,Chilli,7.56,150.15,9.58,114.77,52.31,1.22
images/sample_0057.ppm,Galle,Inter-monsoon,Cabbage,5.39,178.65,33.92,87.69,42.91,5.98
images/sample_0058.ppm,Kandy,Yala,Carrot,5.21,128.73,30.07,73.1,30.45,4.16
images/sample_0059.ppm,Jaffna,Yala,Carrot,6.84,100.14,21.26,79.41,29.46,2.08
images/sample_0060.ppm,Puttalam,Maha,Chilli,7.73,157.03,20.24,84.92,43.52,3.48
images/sample_0061.ppm,Matale,Inter-monsoon,Maize,6.2,115.46,28.52,59.76,26.06,2.95
images/sample_0062.ppm,Trincomalee,Maha,Cabbage,7.63,124.2,10.67,81.85,43.63,1.43
images/sample_0063.ppm,Jaffna,Inter-monsoon,Chilli,5.44,69.31,10.84,33.65,10.93,1.27
images/sample_0064.ppm,Puttalam,Inter-monsoon,Carrot,7.6,178.15,32.51,117.2,57.85,4.38
images/sample_0065.ppm,Kilinochchi,Maha,Chilli,7.12,91.2,19.02,43.22,17.4,2.53
images/sample_0066.ppm,Vavuniya,Inter-monsoon,Carrot,6.86,141.67,28.72,92.68,43.72,3.31
images/sample_0067.ppm,Colombo,Yala,Maize,6.28,155.88,27.37,93.23,45.78,3.96
images/sample_0068.ppm,Moneragala,Yala,Banana,6.92,155.0,24.08,83.74,42.08,3.03
images/sample_0069.ppm,Matara,Yala,Paddy,6.71,199.8,32.57,105.48,52.18,5.81
images/sample_0070.ppm,Kurunegala,Maha,Cabbage,7.66,113.46,28.53,49.92,20.68,4.63
images/sample_0071.ppm,Gampaha,Maha,Cabbage,4.94,143.67,28.48,76.69,33.89,3.69
images/sample_0072.ppm,Colombo,Inter-monsoon,Chilli,6.41,140.54,28.34,91.08,40.33,3.66
images/sample_0073.ppm,Moneragala,Maha,Potato,5.44,112.26,39.44,54.03,15.61,5.22
images/sample_0074.ppm,Colombo,Inter-monsoon,Cabbage,6.56,105.83,22.42,43.45,18.22,2.68
images/sample_0075.ppm,Kegalle,Yala,Chilli,7.35,110.34,23.07,59.25,23.55,2.88
images/sample_0076.ppm,Mannar,Maha,Tomato,6.88,133.6,26.87,73.55,25.2,4.08
images/sample_0077.ppm,Hambantota,Yala,Maize,6.88,147.18,34.32,80.59,35.88,4.13
images/sample_0078.ppm,Hambantota,Yala,Banana,7.22,151.15,18.56,112.62,51.38,2.85
images/sample_0079.ppm,Moneragala,Maha,Paddy,7.31,60.88,15.31,35.68,10.57,1.53
images/sample_0080.ppm,Ampara,Inter-monsoon,Chilli,6.29,147.64,28.48,64.05,29.39,4.93
images/sample_0081.ppm,Puttalam,Yala,Carrot,5.25,151.61,34.12,83.95,42.84,3.95
images/sample_0082.ppm,Kalutara,Yala,Potato,4.91,92.51,11.62,54.93,21.31,1.63
images/sample_0083.ppm,Colombo,Inter-monsoon,Paddy,6.11,127.13,41.07,42.55,12.12,6.35
images/sample_0084.ppm,Batticaloa,Yala,Cabbage,6.21,138.61,37.87,75.93,27.67,4.64
images/sample_0085.ppm,Colombo,Maha,Tomato,5.24,184.21,27.76,106.06,57.7,4.1
images/sample_0086.ppm,Vavuniya,Yala,Tomato,4.97,141.31,20.78,80.02,35.84,3.41
images/sample_0087.ppm,Polonnaruwa,Inter-monsoon,Cabbage,6.11,139.83,27.92,71.51,33.61,4.71
images/sample_0088.ppm,Colombo,Inter-monsoon,Cabbage,5.98,136.49,18.0,68.32,33.28,2.84
images/sample_0089.ppm,Mullaitivu,Yala,Carrot,5.37,142.76,34.48,68.23,34.03,4.93
images/sample_0090.ppm,Gampaha,Maha,Chilli,7.62,102.4,15.63,65.18,27.64,1.07
images/sample_0091.ppm,Kegalle,Yala,Carrot,5.08,121.54,20.5,85.36,38.34,1.69
images/sample_0092.ppm,Matara,Yala,Banana,7.45,141.64,27.7,89.75,40.14,3.79
images/sample_0093.ppm,Jaffna,Maha,Carrot,6.28,117.62,26.69,57.24,27.65,2.66
images/sample_0094.ppm,Moneragala,Inter-monsoon,Carrot,6.21,72.69,16.22,49.37,11.31,1.28
images/sample_0095.ppm,Jaffna,Yala,Chilli,6.01,107.7,22.91,77.04,30.7,2.12
images/sample_0096.ppm,Vavuniya,Yala,Carrot,6.16,118.64,39.3,54.1,17.92,4.98
