soil_type,district,season,crop_type,ph,nitrogen,phosphorus,potassium,moisture,organicMatter
Alluvial,Colombo,Maha,banana,6.29,80.01,40.29,54.37,32.04,2.96
Reddish Brown Earth,Hambantota,Maha,chili,5.98,45.13,19.35,41.4,26.82,3.08
Regosol,Mullaitivu,Maha,tomato,6.31,35.53,20.14,26.89,12.25,2.19
Reddish Brown Earth,Polonnaruwa,Yala,onion,6.34,49.75,20.71,59.9,17.66,3.48
Regosol,Mullaitivu,Yala,watermelon,7.19,44.05,18.98,21.67,12.11,1.77
Reddish Brown Earth,Kurunegala,Maha,cowpea,5.84,67.33,19.37,38.77,20.27,2.26
Alluvial,Kalutara,Maha,paddy,7.25,61.91,24.75,55.58,29.51,3.56
Regosol,Mullaitivu,Maha,watermelon,6.05,37.19,12.18,31.13,12.0,1.42
Regosol,Jaffna,Yala,watermelon,6.71,48.88,18.32,18.12,16.54,1.7
Alluvial,Colombo,Yala,chili,6.32,60.2,23.06,56.66,35.83,3.88
Reddish Brown Earth,Monaragala,Yala,onion,5.73,58.83,34.02,52.01,11.97,3.5
Alluvial,Colombo,Yala,paddy,7.34,65.74,40.41,53.65,30.65,3.21
Reddish Brown Earth,Hambantota,Yala,chili,6.47,46.84,34.53,51.06,18.18,3.16
Reddish Brown Earth,Hambantota,Yala,groundnut,6.51,47.48,29.66,48.61,23.83,2.5
Alluvial,Batticaloa,Maha,banana,7.04,62.63,21.49,49.01,33.35,5.22
Reddish Brown Earth,Anuradhapura,Maha,cowpea,5.8,61.4,29.26,38.22,24.94,2.2
Red Yellow Podzolic,Kegalle,Yala,tea,4.6,39.37,12.63,27.26,33.29,3.87
Alluvial,Kalutara,Maha,vegetables,6.55,74.45,35.51,56.82,37.86,3.41
Reddish Brown Earth,Polonnaruwa,Maha,cowpea,5.53,54.5,24.1,43.6,19.38,1.93
Reddish Brown Earth,Anuradhapura,Maha,maize,6.0,47.94,32.15,47.46,24.4,3.11
Alluvial,Colombo,Maha,banana,6.44,66.94,26.7,64.83,32.85,4.09
Alluvial,Batticaloa,Yala,paddy,7.15,76.57,34.84,61.08,31.03,3.11
Alluvial,Batticaloa,Maha,chili,6.36,66.66,37.44,59.3,33.98,6.03
Alluvial,Batticaloa,Yala,banana,7.31,70.62,33.8,48.8,38.61,4.42
Reddish Brown Earth,Kurunegala,Yala,maize,6.15,50.32,29.16,40.61,14.04,3.49
Red Yellow Podzolic,Galle,Yala,tea,4.89,56.97,23.05,21.23,29.38,3.75
Reddish Brown Earth,Kurunegala,Maha,cowpea,5.91,61.79,23.1,42.9,25.23,2.3
Regosol,Puttalam,Maha,chili,7.73,46.64,11.25,35.05,11.79,2.31
Reddish Brown Earth,Polonnaruwa,Maha,chili,6.5,61.12,23.63,59.43,28.91,3.67
Regosol,Mannar,Maha,onion,7.34,41.11,22.84,25.95,16.44,2.14
Alluvial,Batticaloa,Maha,paddy,6.15,59.02,21.5,60.34,40.0,4.0
Alluvial,Kalutara,Yala,vegetables,6.59,75.99,34.63,63.66,37.23,4.16
Alluvial,Batticaloa,Maha,chili,7.04,72.89,35.78,58.36,25.44,5.43
Red Yellow Podzolic,Kandy,Yala,vegetables,5.1,56.87,23.16,30.72,35.16,3.95
Reddish Brown Earth,Anuradhapura,Yala,chili,5.95,47.7,30.11,46.09,23.92,2.44
Regosol,Jaffna,Yala,chili,6.15,28.91,16.89,33.87,18.3,1.59
Reddish Brown Earth,Hambantota,Maha,maize,5.58,46.85,20.94,52.83,29.3,3.77
Regosol,Kilinochchi,Yala,chili,5.85,28.07,17.43,37.02,15.61,1.2
Reddish Brown Earth,Polonnaruwa,Maha,maize,6.08,51.02,28.54,41.31,19.62,3.73
Red Yellow Podzolic,Matale,Maha,cocoa,4.63,36.08,21.18,25.8,35.27,2.64
Red Yellow Podzolic,Ratnapura,Yala,tea,4.76,37.96,12.09,38.01,24.21,5.05
Reddish Brown Earth,Kurunegala,Maha,groundnut,5.76,64.06,33.67,43.78,17.42,1.92
Reddish Brown Earth,Kurunegala,Maha,groundnut,6.01,60.49,34.03,43.2,22.57,3.13
Reddish Brown Earth,Monaragala,Yala,chili,6.2,62.98,26.58,55.76,18.63,3.59
Reddish Brown Earth,Polonnaruwa,Maha,onion,5.66,61.25,27.26,40.51,20.93,3.63
Regosol,Mullaitivu,Yala,groundnut,7.76,41.78,11.85,35.84,8.0,1.02
Alluvial,Colombo,Yala,paddy,6.51,84.4,33.0,63.53,30.85,5.16
Alluvial,Kalutara,Maha,paddy,7.21,73.55,37.85,69.47,39.9,3.97
Reddish Brown Earth,Kurunegala,Maha,chili,6.05,68.64,18.74,54.58,26.61,3.18
Alluvial,Colombo,Yala,paddy,7.3,63.99,34.36,58.07,23.68,5.13
Reddish Brown Earth,Hambantota,Yala,onion,6.1,55.94,28.17,57.24,21.52,2.88
Red Yellow Podzolic,Kandy,Yala,tea,5.44,49.59,27.11,21.78,34.29,4.29
Alluvial,Gampaha,Maha,vegetables,6.7,56.38,31.45,59.77,29.51,4.84
Alluvial,Gampaha,Maha,chili,6.51,75.71,23.96,56.43,35.34,5.33
Regosol,Jaffna,Yala,tomato,6.84,49.05,13.72,27.72,15.87,1.77
Red Yellow Podzolic,Matale,Yala,vegetables,4.95,50.85,16.77,42.17,35.75,5.1
Red Yellow Podzolic,Matara,Yala,pepper,4.96,37.4,18.29,35.0,30.26,2.66
