feature,importance
num__week_number,0.06538817532818296
num__week_sin,0.05129401403367899
num__rolling_mean_4,0.04829335685310249
num__rolling_min_4,0.04658492542950568
num__lag_2,0.04643041970421474
num__price_rs_kg,0.0445343842423609
num__week_cos,0.04427470731407851
num__rolling_mean_2,0.044018482817061555
num__lag_3,0.0422173585876851
num__lag_4,0.04098371291224027
num__momentum_4,0.040257460529820294
num__lag_1,0.03903380906755406
num__price_vs_mean_4,0.037980051361059655
num__month,0.037759202714936616
num__momentum_2,0.03619298074605534
num__rolling_max_4,0.03502428069100919
num__year,0.0341179340381856
num__volatility_ratio,0.03339110997801414
num__momentum_1,0.03184579985634042
num__rolling_std_4,0.0318129806217131
num__range_4,0.028349735968747795
num__month_sin,0.02756167761082175
num__month_cos,0.020675111273691225
cat__crop_pumpkin,0.010700672295576695
cat__crop_chili,0.009187814916893277
cat__crop_beans,0.007890519550758774
num__trend_up_2,0.005632565947371042
cat__crop_eggplants,0.0056005189350877135
cat__season_Maha,0.005236151530111863
num__trend_up_1,0.005092244112741448
num__trend_up_3,0.004734799332792344
cat__crop_cabbage,0.0046698598200486255
cat__season_Yala,0.004577655071919094
cat__crop_tomatoes,0.004476059407580761
cat__crop_snake gourd,0.004186801489345111
cat__crop_carrots,0.0027765234727827673
cat__district_meegoda,0.0011978610628286023
cat__market_kandy,0.0011593435736632605
cat__district_dambulla,0.0011210737470325248
cat__market_meegoda,0.0010796554368486858
cat__market_dambulla,0.0010344873799811147
cat__district_keppetipola,0.001009882890391497
cat__district_colombo,0.001006627024732585
cat__market_keppetipola,0.0009552599193439468
cat__district_nuwaraeliya,0.0008923995273005655
cat__district_puttalam,0.0008840716652269784
cat__district_thambuththegama,0.0008684470112044071
cat__market_colombo,0.0008580464862956064
cat__market_thambuththegama,0.0008501098456025931
cat__market_nuwaraeliya,0.0008461101044926198
cat__district_kandy,0.0008063409922563495
cat__market_puttalam,0.0007824945497912981
cat__market_veyangoda,0.0006637084496243971
cat__district_veyangoda,0.0005987895411683406
cat__district_bandarawela,0.0003160600272739749
cat__market_bandarawela,0.0002853732018709233
