feature,importance
num__lag_1,0.47163140611923327
num__price_rs_kg,0.40216869578981707
num__momentum_4,0.009596191667149269
num__week_cos,0.008174563605382499
num__week_sin,0.008034045721241195
num__inflation_mom_change,0.007379413016981663
num__week_number,0.007129782863166447
num__lag_3,0.0065142084416724534
num__lag_4,0.005557376837684527
num__momentum_2,0.005455194452161135
num__volatility_ratio,0.005412280512915968
num__price_vs_mean_4,0.005141306340254244
num__inflation_rate,0.00499465188536206
num__rolling_mean_2,0.00436193892658233
num__rolling_std_4,0.004189117143469724
num__range_4,0.003733675178043306
cat__crop_chili,0.003579520926449158
num__rolling_mean_4,0.0035380932724617224
num__lag_2,0.0034523923832684585
num__rolling_max_4,0.003418447841427781
cat__crop_beans,0.003198185623036095
num__rolling_min_4,0.003153108153431964
num__year,0.002780201099998688
num__month_sin,0.002474376254863043
num__month_cos,0.0022802147532572153
cat__crop_tomatoes,0.0014180848935728535
cat__crop_eggplants,0.0012648426675224626
num__wind_max,0.0012039469865498301
num__month,0.001119550957568458
num__temp_mean,0.0008767238181679615
num__trend_up_3,0.0008675724423446516
num__trend_up_2,0.000741880960095179
num__rainfall_total,0.0005984279574789576
cat__crop_carrots,0.000589306924460842
num__rain_sum,0.0005183660436381101
cat__crop_cabbage,0.0003951365386844725
cat__crop_pumpkin,0.00022885876048698474
cat__crop_snake gourd,0.00017030026454722028
cat__district_meegoda,0.0001702060987471563
cat__market_meegoda,0.00016815218611165172
cat__market_kandy,0.0001549343721209835
cat__district_kandy,0.00015337714388965955
num__trend_up_1,0.00015302018385195132
cat__market_thambuththegama,0.00015284382324716721
cat__market_nuwaraeliya,0.00015032280237065528
cat__district_thambuththegama,0.0001452801944258647
cat__market_dambulla,0.00014491205131270278
cat__district_nuwaraeliya,0.00013760043789608892
cat__district_dambulla,0.000128288541933848
cat__season_Yala,0.00012158406191344672
cat__district_keppetipola,0.00011661778476579221
cat__market_keppetipola,0.00010900412441698981
cat__season_Maha,0.00010742507885587308
cat__market_bandarawela,0.00010595943853700004
cat__district_bandarawela,8.91551593333311e-05
cat__market_veyangoda,6.861079547673918e-05
cat__district_veyangoda,6.806432986650899e-05
cat__market_colombo,6.664513270010046e-05
cat__district_colombo,5.6582986825753134e-05
cat__district_puttalam,4.526520001185032e-05
cat__market_puttalam,4.476004695947349e-05
num__momentum_1,0.0
